Epoch,Name,Value
9,accuracy,0.737556,1648740391.038914
9,loss,0.885005,1648740391.038936
9,val_acc,0.765286,1648740391.038956
9,val_loss,0.617601,1648740391.038975
10,epoch_time,121.788363,1648740515.118871
10,epoch_avg_time,136.612785,1648740515.118964
10,accuracy,0.755111,1648740515.119003
10,loss,0.715251,1648740515.119024
10,val_acc,0.725490,1648740515.119044
10,val_loss,0.786305,1648740515.119062
11,epoch_time,155.439671,1648740681.407561
11,epoch_avg_time,138.181692,1648740681.414258
11,accuracy,0.750000,1648740681.414287
11,loss,0.833400,1648740681.414310
11,val_acc,0.734653,1648740681.414331
11,val_loss,0.664817,1648740681.414351
12,epoch_time,127.642825,1648740813.605198
12,epoch_avg_time,137.371010,1648740813.605297
12,accuracy,0.750889,1648740813.605322
12,loss,0.827128,1648740813.605343
12,val_acc,0.690566,1648740813.605362
12,val_loss,0.790131,1648740813.605380
13,epoch_time,127.686809,1648740944.428361
13,epoch_avg_time,136.679281,1648740944.428490
13,accuracy,0.728889,1648740944.428516
13,loss,0.855888,1648740944.428537
13,val_acc,0.696737,1648740944.428556
13,val_loss,0.686721,1648740944.428575
14,epoch_time,121.765877,1648741068.344141
14,epoch_avg_time,135.685054,1648741068.344235
14,accuracy,0.771556,1648741068.344273
14,loss,0.665506,1648741068.344294
14,val_acc,0.845545,1648741068.344312
14,val_loss,0.636107,1648741068.344330
15,epoch_time,143.786925,1648741219.546479
15,epoch_avg_time,136.191421,1648741219.546552
15,accuracy,0.762889,1648741219.546577
15,loss,0.729643,1648741219.546598
15,val_acc,0.653924,1648741219.546617
15,val_loss,0.993381,1648741219.546635
16,epoch_time,121.721965,1648741345.692874
16,epoch_avg_time,135.340277,1648741345.692984
16,accuracy,0.726222,1648741345.693009
16,loss,0.917767,1648741345.693030
16,val_acc,0.690763,1648741345.693049
16,val_loss,0.795685,1648741345.693071
17,epoch_time,129.126866,1648741478.337593
17,epoch_avg_time,134.995087,1648741478.337722
17,accuracy,0.769778,1648741478.337748
17,loss,0.676625,1648741478.337769
17,val_acc,0.767857,1648741478.337789
17,val_loss,0.589968,1648741478.337808
18,epoch_time,121.769161,1648741602.722908
18,epoch_avg_time,134.298986,1648741602.722993
18,accuracy,0.776889,1648741602.723021
18,loss,0.638601,1648741602.723043
18,val_acc,0.804264,1648741602.723063
18,val_loss,0.593364,1648741602.723082
19,epoch_time,128.356285,1648741732.702416
19,epoch_avg_time,134.001851,1648741732.702514
19,accuracy,0.763333,1648741732.702539
19,loss,0.712557,1648741732.702559
19,val_acc,0.653543,1648741732.702579
19,val_loss,1.024380,1648741732.702597
20,epoch_time,121.891859,1648741855.624056
20,epoch_avg_time,133.425185,1648741855.624170
20,accuracy,0.798222,1648741855.624197
20,loss,0.571233,1648741855.624221
20,val_acc,0.805169,1648741855.624244
20,val_loss,0.632043,1648741855.624267
21,epoch_time,153.047617,1648742023.131905
21,epoch_avg_time,134.317113,1648742023.140848
21,accuracy,0.784667,1648742023.140881
21,loss,0.576979,1648742023.140903
21,val_acc,0.806950,1648742023.140923
21,val_loss,0.544172,1648742023.140941
22,epoch_time,121.676826,1648742147.922349
22,epoch_avg_time,133.767536,1648742147.922444
22,accuracy,0.797111,1648742147.922482
22,loss,0.585548,1648742147.922503
22,val_acc,0.798039,1648742147.922523
22,val_loss,0.564930,1648742147.922541
23,epoch_time,128.746224,1648742279.105909
23,epoch_avg_time,133.558314,1648742279.106038
23,accuracy,0.769333,1648742279.106063
23,loss,0.750596,1648742279.106084
23,val_acc,0.766208,1648742279.106103
23,val_loss,0.607172,1648742279.106122
24,epoch_time,121.854943,1648742402.360137
24,epoch_avg_time,133.090179,1648742402.360246
24,accuracy,0.772000,1648742402.360270
24,loss,0.703806,1648742402.360291
24,val_acc,0.828000,1648742402.360310
24,val_loss,0.513865,1648742402.360328
25,epoch_time,128.336571,1648742531.744366
25,epoch_avg_time,132.907348,1648742531.744495
25,accuracy,0.795556,1648742531.744521
25,loss,0.566348,1648742531.744542
25,val_acc,0.762183,1648742531.744561
25,val_loss,0.654412,1648742531.744579
26,epoch_time,128.106940,1648742660.691334
26,epoch_avg_time,132.729555,1648742660.691464
26,accuracy,0.717111,1648742660.691490
26,loss,1.596581,1648742660.691512
26,val_acc,0.759674,1648742660.691532
26,val_loss,0.918992,1648742660.691551
27,epoch_time,121.829589,1648742782.946198
27,epoch_avg_time,132.340271,1648742782.946278
27,accuracy,0.612667,1648742782.946303
27,loss,3.656556,1648742782.946339
27,val_acc,0.728000,1648742782.946373
27,val_loss,0.781740,1648742782.946392
28,epoch_time,121.993886,1648742905.524933
28,epoch_avg_time,131.983499,1648742905.525013
28,accuracy,0.732222,1648742905.525043
28,loss,0.911448,1648742905.525094
28,val_acc,0.690619,1648742905.525115
28,val_loss,0.709631,1648742905.525134
29,epoch_time,121.912601,1648743027.830607
29,epoch_avg_time,131.647802,1648743027.830710
29,accuracy,0.784444,1648743027.830761
29,loss,0.567745,1648743027.830799
29,val_acc,0.766000,1648743027.830832
29,val_loss,0.633875,1648743027.830864
30,epoch_time,122.192137,1648743150.490292
30,epoch_avg_time,131.342781,1648743150.490390
30,accuracy,0.790222,1648743150.490429
30,loss,0.575385,1648743150.490450
30,val_acc,0.722986,1648743150.490499
30,val_loss,0.716136,1648743150.490547
31,epoch_time,151.820081,1648743317.411419
31,epoch_avg_time,131.982697,1648743317.423781
31,accuracy,0.797333,1648743317.423814
31,loss,0.525936,1648743317.423836
31,val_acc,0.757062,1648743317.423856
31,val_loss,0.676347,1648743317.423874
32,epoch_time,128.476454,1648743449.316485
32,epoch_avg_time,131.876447,1648743449.316600
32,accuracy,0.808222,1648743449.316631
32,loss,0.507062,1648743449.316681
32,val_acc,0.778656,1648743449.316701
32,val_loss,0.487316,1648743449.316743
33,epoch_time,121.728639,1648743573.403300
33,epoch_avg_time,131.577982,1648743573.403380
33,accuracy,0.799333,1648743573.403409
33,loss,0.565663,1648743573.403432
33,val_acc,0.758691,1648743573.403481
33,val_loss,0.633842,1648743573.403501
34,epoch_time,122.049292,1648743697.082121
34,epoch_avg_time,131.305734,1648743697.082201
34,accuracy,0.819556,1648743697.082226
34,loss,0.498563,1648743697.082263
34,val_acc,0.825490,1648743697.082311
34,val_loss,0.623019,1648743697.082343
35,epoch_time,122.020619,1648743820.287953
35,epoch_avg_time,131.047814,1648743820.288019
35,accuracy,0.810222,1648743820.288044
35,loss,0.554919,1648743820.288094
35,val_acc,0.788000,1648743820.288126
35,val_loss,0.669610,1648743820.288144
36,epoch_time,128.790778,1648743949.777040
36,epoch_avg_time,130.986813,1648743949.777139
36,accuracy,0.814889,1648743949.777193
36,loss,0.514809,1648743949.777214
36,val_acc,0.831068,1648743949.777233
36,val_loss,0.555765,1648743949.777251
37,epoch_time,121.727253,1648744072.016782
37,epoch_avg_time,130.743140,1648744072.016864
37,accuracy,0.812667,1648744072.016889
37,loss,0.513069,1648744072.016939
37,val_acc,0.769231,1648744072.016958
37,val_loss,0.712527,1648744072.017005
38,epoch_time,128.903883,1648744201.345247
38,epoch_avg_time,130.695980,1648744201.345377
38,accuracy,0.814222,1648744201.345402
38,loss,0.516754,1648744201.345467
38,val_acc,0.788845,1648744201.345500
38,val_loss,0.661273,1648744201.345519
39,epoch_time,121.883854,1648744323.580150
39,epoch_avg_time,130.475677,1648744323.580230
39,accuracy,0.811333,1648744323.580256
39,loss,0.553043,1648744323.580306
39,val_acc,0.678295,1648744323.580325
39,val_loss,1.001902,1648744323.580344
40,epoch_time,122.100079,1648744446.008234
40,epoch_avg_time,130.271394,1648744446.008313
40,accuracy,0.803333,1648744446.008376
40,loss,0.555879,1648744446.008404
40,val_acc,0.751938,1648744446.008439
40,val_loss,0.704142,1648744446.008471
41,epoch_time,121.954124,1648744574.203708
41,epoch_avg_time,130.073363,1648744574.203788
41,accuracy,0.815333,1648744574.203814
41,loss,0.583438,1648744574.203851
41,val_acc,0.821218,1648744574.203884
41,val_loss,0.579941,1648744574.203903
42,epoch_time,153.341558,1648744732.189156
42,epoch_avg_time,130.614484,1648744732.189286
42,accuracy,0.812000,1648744732.189342
42,loss,0.582177,1648744732.189393
42,val_acc,0.854932,1648744732.189413
42,val_loss,0.556449,1648744732.189431
43,epoch_time,151.850534,1648744894.674586
43,epoch_avg_time,131.097122,1648744894.692653
43,accuracy,0.800889,1648744894.692834
43,loss,0.674485,1648744894.692931
43,val_acc,0.828794,1648744894.693016
43,val_loss,0.628721,1648744894.693094
44,epoch_time,152.710031,1648745053.185052
44,epoch_avg_time,131.577409,1648745053.185146
44,accuracy,0.822222,1648745053.185186
44,loss,0.545949,1648745053.185207
44,val_acc,0.854000,1648745053.185227
44,val_loss,0.447660,1648745053.185246
45,epoch_time,121.670512,1648745177.976872
45,epoch_avg_time,131.362041,1648745177.976952
45,accuracy,0.785556,1648745177.976976
45,loss,0.780412,1648745177.977012
45,val_acc,0.848790,1648745177.977053
45,val_loss,0.535899,1648745177.977072
46,epoch_time,121.661451,1648745301.895779
46,epoch_avg_time,131.155646,1648745301.895858
46,accuracy,0.792222,1648745301.895883
46,loss,0.732273,1648745301.895904
46,val_acc,0.756539,1648745301.895952
46,val_loss,0.632163,1648745301.895971
47,epoch_time,121.680131,1648745425.110011
47,epoch_avg_time,130.958239,1648745425.110110
47,accuracy,0.788000,1648745425.110150
47,loss,0.777864,1648745425.110172
47,val_acc,0.832298,1648745425.110221
47,val_loss,0.471491,1648745425.110270
48,epoch_time,128.441006,1648745554.278855
48,epoch_avg_time,130.906867,1648745554.278954
48,accuracy,0.789333,1648745554.278979
48,loss,0.757237,1648745554.279000
48,val_acc,0.702041,1648745554.279019
48,val_loss,1.118871,1648745554.279037
